PIV MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.75_2,06/12/2023,09:34:45

SOURCE_INST,SOURCE_PG_GPIO_SN,SOURCE_PG_ID,SOURCE_PG_CALIB_CONSTANT,SOURCE_PG_CALIB_DATE,SOURCE_TYPE,SOURCE_PG_OSC_INST,SOURCE_PG_OSC_SN,SOURCE_PG_OSC_AVE,SOURCE_PG_OSC_SCAL,SOURCE_PG_OSC_RANG_V,SOURCE_PG_OSC_PROB_V,SOURCE_PG_OSC_UNIT_V,SOURCE_PG_OSC_RANG_I,SOURCE_PG_OSC_PROB_I,SOURCE_PG_OSC_UNIT_I,SOURCE_PG_FREQ,SOURCE_PG_OSC_AUTO,SOURCE_PG_RES,SOURCE_PG_MAX_I,SOURCE_PG_MAX_V,SOURCE_PG_CALIB,SOURCE_PG_BG_V,SOURCE_PG_BG_I,POWER_INST,POWER_INST_SN,POWER_DETECTOR,POWER_DETECTOR_SN,POWER_DETECTOR_CALIB,POWER_WL,POWER_AVE,POWER_MAX,POWER_TR,POWER_ITH,PIV_MEAS_TIME,PIV_MEAS_END
Pulse generator (digital type),100062623,Q-PG-DP,2.098,30/11/23,Pulsed,Keysight DSOX1204A Oscilloscope,CN62096236,64,+500.0E-09,+5.50E+00,+1.0000000E+00,VOLT,+1.10E+00,+2.0980000E+00,AMP,+4.95050E+03,Auto osc. on,3,1.000000,5.000000,2.098000,-0.020700,0.000290,PM100USB,1916809,S142C,221018320,18-OCT-2022,623.700000,100.000000,0.000050,TR det. off,Ith det. off,223.838,Maximum current


Current (A), Power (W), Voltage (V)
0.4106800000,0.0000000738,2.5128000000
0.4130100000,0.0000000719,2.5159000000
0.4156900000,0.0000000746,2.5190000000
0.4179600000,0.0000000745,2.5220000000
0.4203300000,0.0000000756,2.5270000000
0.4227600000,0.0000000770,2.5285000000
0.4252700000,0.0000000790,2.5323000000
0.4272300000,0.0000000798,2.5362000000
0.4299100000,0.0000000802,2.5405000000
0.4323100000,0.0000000800,2.5422000000
0.4345900000,0.0000000805,2.5459000000
0.4367200000,0.0000000819,2.5485000000
0.4392700000,0.0000000830,2.5507000000
0.4412400000,0.0000000834,2.5532000000
0.4433600000,0.0000000829,2.5565000000
0.4453700000,0.0000000855,2.5589000000
0.4472800000,0.0000000872,2.5621000000
0.4493200000,0.0000000874,2.5644000000
0.4518900000,0.0000000879,2.5681000000
0.4537900000,0.0000000889,2.5710000000
0.4556700000,0.0000000887,2.5748000000
0.4577300000,0.0000000907,2.5764000000
0.4600700000,0.0000000921,2.5792000000
0.4619800000,0.0000000932,2.5833000000
0.4642200000,0.0000000949,2.5843000000
0.4663000000,0.0000000959,2.5880000000
0.4685100000,0.0000000950,2.5910000000
0.4704600000,0.0000000956,2.5921000000
0.4723000000,0.0000000978,2.5960000000
0.4741400000,0.0000000991,2.5988000000
0.4762500000,0.0000000990,2.6007000000
0.4781700000,0.0000000997,2.6042000000
0.4802200000,0.0000001024,2.6067000000
0.4823500000,0.0000001031,2.6093000000
0.4842500000,0.0000001020,2.6125000000
0.4859500000,0.0000001059,2.6154000000
0.4883600000,0.0000001059,2.6177000000
0.4896500000,0.0000001071,2.6201000000
0.4916100000,0.0000001087,2.6234000000
0.4933000000,0.0000001072,2.6248000000
0.4953400000,0.0000001099,2.6272000000
